customer_id,application_date,age,gender,marital_status,education,num_dependents,city_tier,employment_type,annual_income,account_tenure_years,num_credit_cards,credit_score,has_defaulted_before,existing_loans_count,loan_purpose,loan_amount,loan_tenure_months,interest_rate,monthly_expenses,collateral_value,loan_default
CUST104141,2025-03-27,56,Male,Married,Graduate,0,Tier 2,Salaried,365827.0,0.2,1.0,759.0,0,1,Personal,52600.0,48,14.18,8474.0,,0
CUST103625,2025-10-23,28,Female,Married,High School,5,Tier 2,Salaried,554629.0,0.5,2.0,689.0,1,0,Auto,135000.0,120,8.7,20451.0,172563.0,1
CUST108279,2025-08-13,50,Male,Single,High School,3,Tier 1,Self-Employed,599645.0,1.7,2.0,616.0,0,2,Auto,116200.0,24,10.14,23777.0,150291.0,0
CUST103903,2025-09-20,28,Male,Divorced,Graduate,2,Tier 1,Business Owner,813436.0,,2.0,585.0,0,1,Business,45700.0,48,8.15,22417.0,,0
CUST102573,2024-02-21,37,Male,Widowed,High School,2,Tier 1,Business Owner,389275.0,1.2,3.0,635.0,0,0,Business,123900.0,48,8.65,17214.0,,1
CUST104069,2025-02-06,50,Male,Married,Graduate,1,Tier 1,Self-Employed,2902139.0,4.6,2.0,840.0,0,0,Home,123400.0,48,14.85,121917.0,157181.0,0
CUST104124,2025-04-09,41,Female,Single,High School,1,Tier 2,Business Owner,826023.0,3.4,4.0,769.0,0,2,Home,52500.0,24,9.34,41245.0,56509.0,0
CUST107124,2024-06-25,53,Male,Married,High School,2,Tier 3,Salaried,449551.0,6.3,0.0,602.0,0,1,Gold,173000.0,120,19.83,15473.0,252065.0,0
CUST104467,2025-03-26,43,Female,Divorced,Post Graduate,1,Tier 2,Salaried,250752.0,0.3,2.0,676.0,0,0,Auto,45800.0,60,13.36,10043.0,58932.0,0
CUST100876,2024-02-21,32,Male,Divorced,Graduate,2,Tier 3,Salaried,606947.0,0.3,2.0,631.0,0,1,Home,157800.0,60,12.04,22697.0,192451.0,0
CUST105715,2025-07-06,33,Male,Widowed,Graduate,0,Tier 2,Salaried,414098.0,0.7,0.0,745.0,0,0,Personal,101600.0,36,12.71,21484.0,,0
CUST106249,2024-11-18,49,Female,Single,Graduate,1,Tier 1,Self-Employed,495766.0,2.7,0.0,605.0,0,2,Home,217900.0,60,10.74,13885.0,284994.0,0
CUST106996,2024-12-16,46,Female,Single,High School,1,Tier 1,Business Owner,329316.0,0.2,1.0,548.0,0,2,Personal,129000.0,36,10.77,15865.0,,0
CUST106054,2024-04-15,42,Other,Single,High School,0,Tier 3,Salaried,465143.0,0.2,2.0,803.0,0,2,Business,245000.0,120,11.78,17009.0,,0
CUST105766,2024-03-20,45,Female,Married,Graduate,0,Tier 3,Salaried,172742.0,0.1,0.0,656.0,0,0,Home,54500.0,12,9.0,5938.0,68270.0,0
CUST103374,2025-04-07,21,Male,Single,Graduate,1,Tier 2,Self-Employed,876771.0,10.4,2.0,743.0,0,0,Auto,74900.0,36,11.91,21502.0,77449.0,0
CUST106894,2025-08-25,30,Male,Married,Graduate,0,Tier 1,Self-Employed,976974.0,0.3,3.0,496.0,0,3,Education,726900.0,84,11.66,29270.0,,0
CUST106293,2024-07-04,43,Male,Married,Graduate,3,Tier 1,Salaried,1683647.0,2.2,0.0,739.0,0,0,Home,129000.0,24,13.29,81856.0,169095.0,0
CUST103773,2024-10-05,30,Male,Single,High School,0,Tier 1,Self-Employed,329116.0,,1.0,656.0,0,1,Personal,92700.0,180,13.48,17690.0,,0
